,0
911,33.0
912,45.0
913,39.0
914,57.0
915,37.0
916,30.0
917,55.0
918,43.0
919,44.0
920,41.0
921,53.0
922,141.0
923,62.0
924,64.0
925,79.0
926,9491.0
927,2639.0
928,3158.0
929,6544.0
930,6905.0
931,5820.0
932,3345.0
933,1915.0
934,2174.0
935,1842.0
936,2253.0
937,2767.0
938,3389.0
939,2608.0
940,1391.0
941,214.0
942,167.0
943,115.0
944,63.0
945,59.0
946,116.0
947,94.0
948,49.0
949,44.0
950,40.0
951,59.0
952,69.0
953,53.0
954,36.0
955,38.0
956,80.0
957,100.0
958,91.0
959,84.0
960,94.0
961,57.0
962,59.0
963,83.0
964,87.0
965,83.0
966,84.0
967,70.0
968,82.0
969,78.0
970,62.0
971,57.0
972,78.0
973,76.0
974,64.0
975,76.0
976,62.0
977,86.0
978,69.0
979,71.0
980,60.0
981,72.0
982,85.0
983,50.0
984,75.0
985,72.0
986,78.0
987,67.0
988,91.0
989,76.0
990,92.0
991,68.0
992,75.0
993,75.0
994,63.0
995,89.0
996,91.0
997,78.0
998,66.0
999,85.0
1000,70.0
1001,79.0
1002,66.0
1003,71.0
1004,92.0
1005,98.0
1006,86.0
1007,83.0
1008,83.0
1009,82.0
1010,71.0
1011,87.0
1012,91.0
1013,100.0
1014,86.0
1015,102.0
1016,77.0
1017,70.0
1018,71.0
1019,74.0
1020,88.0
1021,76.0
1022,70.0
1023,67.0
1024,80.0
1025,77.0
1026,78.0
1027,78.0
1028,73.0
1029,2598.0
1030,4951.0
1031,3404.0
1032,3164.0
1033,4458.0
1034,4503.0
1035,3055.0
